
03-24 15:05:11.583  5390  5441 D Unity   :  GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_EGL_sync GL_OES_vertex_half_float GL_OES_framebuffer_object GL_OES_rgb8_rgba8 GL_OES_compressed_ETC1_RGB8_texture GL_AMD_compressed_ATC_texture GL_KHR_texture_compression_astc_ldr GL_KHR_texture_compression_astc_hdr GL_OES_texture_compression_astc GL_OES_texture_npot GL_EXT_texture_filter_anisotropic GL_EXT_texture_format_BGRA8888 GL_EXT_read_format_bgra GL_OES_texture_3D GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_QCOM_alpha_test GL_OES_depth24 GL_OES_packed_depth_stencil GL_OES_depth_texture GL_OES_depth_texture_cube_map GL_EXT_sRGB GL_OES_texture_float GL_OES_texture_float_linear GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_EXT_texture_type_2_10_10_10_REV GL_EXT_texture_sRGB_decode GL_EXT_texture_format_sRGB_override GL_OES_element_index_uint GL_EXT_copy_image GL_EXT_geometry_shader GL_EXT_tessellation_shader GL_OES_texture_stencil8 GL_EXT_shader_io_blocks GL_OES_shader_image_atomic GL_OES_sample_variables GL_EXT_texture_b
03-24 15:05:11.583  5390  5441 D Unity   : order_clamp GL_EXT_EGL_image_external_wrap_modes GL_EXT_multisampled_render_to_texture GL_EXT_multisampled_render_to_texture2 GL_OES_shader_multisample_interpolation GL_EXT_texture_cube_map_array GL_EXT_draw_buffers_indexed GL_EXT_gpu_shader5 GL_EXT_robustness GL_EXT_texture_buffer GL_EXT_shader_framebuffer_fetch GL_ARM_shader_framebuffer_fetch_depth_stencil GL_OES_texture_storage_multisample_2d_array GL_OES_sample_shading GL_OES_get_program_binary GL_EXT_debug_label GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent GL_QCOM_tiled_rendering GL_ANDROID_extension_pack_es31a GL_EXT_primitive_bounding_box GL_OES_standard_derivatives GL_OES_vertex_array_object GL_EXT_disjoint_timer_query GL_KHR_debug GL_EXT_YUV_target GL_EXT_sRGB_write_control GL_EXT_texture_norm16 GL_EXT_discard_framebuffer GL_OES_surfaceless_context GL_OVR_multiview GL_OVR_multiview2 GL_EXT_texture_sRGB_R8 GL_KHR_no_error GL_EXT_debug_marker GL_OES_EGL_image_external_essl3 GL_OVR_multiview_multisampled_render_to_texture GL_E
03-24 15:05:11.583  5390  5441 D Unity   : XT_buffer_storage GL_EXT_external_buffer GL_EXT_blit_framebuffer_params GL_EXT_clip_cull_distance GL_EXT_protected_textures GL_EXT_shader_non_constant_global_initializers GL_QCOM_texture_foveated GL_QCOM_texture_foveated_subsampled_layout GL_QCOM_shader_framebuffer_fetch_noncoherent GL_QCOM_shader_framebuffer_fetch_rate GL_EXT_memory_object GL_EXT_memory_object_fd GL_EXT_EGL_image_array GL_NV_shader_noperspective_interpolation GL_KHR_robust_buffer_access_behavior GL_EXT_EGL_image_storage GL_EXT_blend_func_extended GL_EXT_clip_control GL_OES_texture_view GL_EXT_fragment_invocation_density GL_QCOM_motion_estimation GL_QCOM_validate_shader_binary GL_QCOM_YUV_texture_gather
03-24 15:05:11.883  5390  5441 I Unity   : [Singleton] An instance of NREAL.SettingsManager is needed in the scene, so '(singleton) NREAL.SettingsManager (UnityEngine.GameObject)' was created with DontDestroyOnLoad.
03-24 15:05:11.883  5390  5441 I Unity   : NREAL.AR.Utility.Singleton`1:get_Instance()
03-24 15:05:11.883  5390  5441 I Unity   : NREAL.HOME.LoadingScene:Awake()
03-24 15:05:11.883  5390  5441 I Unity   :  
03-24 15:05:11.883  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.883  5390  5441 I Unity   : 
03-24 15:05:11.884  5390  5441 I Unity   : [Default] An instance of NREAL.AR.Utility.UnityMainThreadDispatcher is needed in the scene, so '(default) NREAL.AR.Utility.UnityMainThreadDispatcher (UnityEngine.GameObject)' was created with DontDestroyOnLoad.
03-24 15:05:11.884  5390  5441 I Unity   : NREAL.DefaultValuePattern`1:get_Instance()
03-24 15:05:11.884  5390  5441 I Unity   : NREAL.SettingsManager:Init()
03-24 15:05:11.884  5390  5441 I Unity   : NREAL.HOME.LoadingScene:Awake()
03-24 15:05:11.884  5390  5441 I Unity   :  
03-24 15:05:11.884  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.884  5390  5441 I Unity   : 
03-24 15:05:11.886  5390  5441 I Unity   : [Default] An instance of NREAL.ServiceManager is needed in the scene, so '(default) NREAL.ServiceManager (UnityEngine.GameObject)' was created with DontDestroyOnLoad.
03-24 15:05:11.886  5390  5441 I Unity   : NREAL.DefaultValuePattern`1:get_Instance()
03-24 15:05:11.886  5390  5441 I Unity   : NREAL.BaseService`1:get_Instance()
03-24 15:05:11.886  5390  5441 I Unity   : NREAL.SharedSettingsProvider:Awake()
03-24 15:05:11.886  5390  5441 I Unity   : UnityEngine.GameObject:AddComponent()
03-24 15:05:11.886  5390  5441 I Unity   : NREAL.SharedSettings:Awake()
03-24 15:05:11.886  5390  5441 I Unity   : UnityEngine.GameObject:AddComponent()
03-24 15:05:11.886  5390  5441 I Unity   : NREAL.SettingsManager:AddSettings()
03-24 15:05:11.886  5390  5441 I Unity   : NREAL.SettingsManager:Init()
03-24 15:05:11.886  5390  5441 I Unity   : NREAL.HOME.LoadingScene:Awake()
03-24 15:05:11.886  5390  5441 I Unity   :  
03-24 15:05:11.886  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.886  5390  5441 I Unity   : 
03-24 15:05:11.921  5390  5441 I Unity   : [SharedSettings] Read: (11)[(id = 0, FollowMode = 0) (id = 1, Theme = LG) (id = 2, Language = ko) (id = 3, LeftHand = false) (id = 4, AutoOpenSpace = true) (id = 5, AutoSleepTime = 60) (id = 6, CarrierName = LG) (id = 7, SerialNumber = NR809005450053) (id = 8, FirmwareVersion = 05.1.06.006_20201026_0031) (id = 9, DbVersion = 40) (id = 10, AutoUpdate = 1) ]
03-24 15:05:11.921  5390  5441 I Unity   : NREAL.SharedSettingsProvider:HandleReadData(String, List`1, Int32)
03-24 15:05:11.921  5390  5441 I Unity   : UnityEngine.GameObject:AddComponent()
03-24 15:05:11.921  5390  5441 I Unity   : NREAL.SharedSettings:Awake()
03-24 15:05:11.921  5390  5441 I Unity   : UnityEngine.GameObject:AddComponent()
03-24 15:05:11.921  5390  5441 I Unity   : NREAL.SettingsManager:AddSettings()
03-24 15:05:11.921  5390  5441 I Unity   : NREAL.SettingsManager:Init()
03-24 15:05:11.921  5390  5441 I Unity   : NREAL.HOME.LoadingScene:Awake()
